5.0.0.0,5.0.255.255,SY
5.63.28.0,5.63.31.255,FR
5.63.32.0,5.63.63.255,DE
5.63.64.0,5.63.127.255,KZ
5.63.128.0,5.63.135.255,RU
5.63.136.0,5.63.143.255,IT
5.63.144.0,5.63.151.255,GB
5.63.152.0,5.63.159.255,RU
5.63.160.0,5.63.167.255,AM
5.63.168.0,5.63.175.255,IT
5.63.176.0,5.63.183.255,DE
5.63.184.0,5.63.191.255,PL
5.63.192.0,5.63.255.255,HU
5.64.0.0,5.71.255.255,GB
5.72.0.0,5.75.127.255,IR
5.75.128.0,5.75.255.255,DE
5.76.0.0,5.76.255.255,KZ
5.77.0.0,5.77.31.255,RU
5.77.32.0,5.77.63.255,GB
5.77.64.0,5.77.127.255,IT
5.77.128.0,5.77.255.255,AM
5.78.0.0,5.78.143.255,IR
5.78.144.0,5.78.145.255,US
5.78.146.0,5.78.255.255,IR
5.79.0.0,5.79.63.255,GB
5.79.64.0,5.79.127.255,NL
5.79.128.0,5.79.255.255,RU
5.80.0.0,5.81.255.255,GB
5.82.0.0,5.82.255.255,SA
5.83.0.0,5.83.7.255,NL
5.83.8.0,5.83.15.255,GB
5.83.16.0,5.83.23.255,UA
5.83.24.0,5.83.31.255,DK
5.83.32.0,5.83.47.255,RO
5.83.48.0,5.83.55.255,ES
5.83.56.0,5.83.63.255,FI
5.83.64.0,5.83.95.255,ES
5.83.96.0,5.83.103.255,GB
5.83.104.0,5.83.111.255,IT
5.83.112.0,5.83.119.255,AE
5.83.120.0,5.83.127.255,IT
5.83.128.0,5.83.191.255,DE
5.83.192.0,5.83.223.255,GB
5.83.224.0,5.83.231.255,NO
5.83.232.0,5.83.239.255,FR
5.83.240.0,5.83.255.255,IE
5.84.0.0,5.99.255.255,IT
5.100.0.0,5.100.63.255,DE
5.100.64.0,5.100.127.255,RU
5.100.128.0,5.100.143.255,DE
5.100.144.0,5.100.151.255,FR
5.100.152.0,5.100.155.255,GB
5.100.156.0,5.100.157.255,TR
5.100.158.0,5.100.159.255,GB
5.100.160.0,5.100.167.255,YE
5.100.168.0,5.100.175.255,GB
5.100.176.0,5.100.191.255,NO
5.100.192.0,5.100.223.255,BY
5.100.224.0,5.100.227.191,NL
5.100.227.192,5.100.227.255,FI
5.100.228.0,5.100.231.255,NL
5.100.232.0,5.100.239.255,IT
5.100.240.0,5.100.243.255,LB
5.100.244.0,5.100.247.255,RU
5.100.248.0,5.100.255.255,IL
5.101.0.0,5.101.39.255,RU
5.101.40.0,5.101.43.255,GB
5.101.44.0,5.101.44.255,DE
5.101.45.0,5.101.47.255,NL
5.101.48.0,5.101.51.255,RU
5.101.52.0,5.101.59.255,KZ
5.101.60.0,5.101.91.255,RU
5.101.92.0,5.101.95.255,RO
5.101.96.0,5.101.107.255,NL
5.101.108.0,5.101.108.255,GB
5.101.109.0,5.101.111.255,NL
5.101.112.0,5.101.127.255,EE
5.101.128.0,5.101.135.255,RU
5.101.136.0,5.101.151.255,GB
5.101.152.0,5.101.159.255,RU
5.101.160.0,5.101.167.255,DE
5.101.168.0,5.101.175.255,GB
5.101.176.0,5.101.191.255,EE
5.101.192.0,5.101.215.255,RU
5.101.216.0,5.101.216.255,US
5.101.217.0,5.101.217.255,UZ
5.101.218.0,5.101.218.255,US
5.101.219.0,5.101.219.255,BG
5.101.220.0,5.101.220.255,GE
5.101.221.0,5.101.221.255,IT
5.101.222.0,5.101.222.255,AM
5.101.223.0,5.101.223.255,US
5.101.224.0,5.101.255.255,RU
5.102.0.0,5.102.31.255,IT
5.102.32.0,5.102.35.255,CH
5.102.36.0,5.102.39.255,UA
5.102.40.0,5.102.47.255,PL
5.102.48.0,5.102.63.255,CZ
5.102.64.0,5.102.71.255,PL
5.102.72.0,5.102.72.255,YT
5.102.73.0,5.102.74.255,RE
5.102.75.0,5.102.75.255,FR
5.102.76.0,5.102.77.255,GP
5.102.78.0,5.102.78.255,MQ
5.102.79.0,5.102.79.255,GF
5.102.80.0,5.102.95.255,GB
5.102.96.0,5.102.119.255,PS
5.102.120.0,5.102.127.255,US
5.102.128.0,5.102.135.255,ES
5.102.136.0,5.102.143.255,NL
5.102.144.0,5.102.151.255,CH
5.102.152.0,5.102.159.255,RU
5.102.160.0,5.102.167.255,DE
5.102.168.0,5.102.175.255,GB
5.102.176.0,5.102.182.255,OM
5.102.183.0,5.102.183.255,BA
5.102.184.0,5.102.191.255,GB
5.102.192.0,5.102.255.255,IL
5.103.0.0,5.103.255.255,DK
5.104.0.0,5.104.15.255,CY
5.104.16.0,5.104.23.255,CZ
5.104.24.0,5.104.31.255,IT
5.104.32.0,5.104.47.255,RU
5.104.48.0,5.104.63.255,UA
5.104.64.0,5.104.64.255,US
5.104.65.0,5.104.65.255,DE
5.104.66.0,5.104.67.255,US
5.104.68.0,5.104.68.255,JP
5.104.69.0,5.104.71.255,FR
5.104.72.0,5.104.75.255,TR
5.104.76.0,5.104.79.255,US
5.104.80.0,5.104.87.255,FI
5.104.88.0,5.104.95.255,CH
5.104.96.0,5.104.103.255,FR
5.104.104.0,5.104.111.255,DE
5.104.112.0,5.104.127.255,NL
5.104.128.0,5.104.135.255,SY
5.104.136.0,5.104.143.255,NL
5.104.144.0,5.104.157.255,DE
5.104.158.0,5.104.159.255,RO
5.104.160.0,5.104.191.255,BG
5.104.192.0,5.104.199.255,FR
5.104.200.0,5.104.207.255,RU
5.104.208.0,5.104.215.255,IR
5.104.216.0,5.104.223.255,AT
5.104.224.0,5.104.231.255,NL
5.104.232.0,5.104.239.255,KZ
5.104.240.0,5.104.240.255,IL
5.104.241.0,5.104.241.255,NL
5.104.242.0,5.104.242.255,US
5.104.243.0,5.104.243.255,IL
5.104.244.0,5.104.245.255,US
5.104.246.0,5.104.246.255,NL
5.104.247.0,5.104.247.255,IL
5.104.248.0,5.104.255.255,PL
5.105.0.0,5.105.255.255,UA
5.106.0.0,5.106.255.255,IR
5.107.0.0,5.107.255.255,AE
5.108.0.0,5.111.255.255,SA
5.112.0.0,5.127.255.255,IR
5.128.0.0,5.131.255.255,RU
5.132.0.0,5.132.127.255,NL
5.132.128.0,5.132.128.255,SI
5.132.129.0,5.132.129.255,FR
5.132.130.0,5.132.130.255,DE
5.132.131.0,5.132.131.255,GB
5.132.132.0,5.132.132.255,IE
5.132.133.0,5.132.133.255,GB
5.132.134.0,5.132.134.255,SK
5.132.135.0,5.132.135.255,BG
5.132.136.0,5.132.136.255,DE
5.132.137.0,5.132.137.255,AT
5.132.138.0,5.132.138.255,IT
5.132.139.0,5.132.140.255,RU
5.132.141.0,5.132.141.255,CH
5.132.142.0,5.132.142.255,CZ
5.132.143.0,5.132.143.255,IT
5.132.144.0,5.132.144.255,AT
5.132.145.0,5.132.145.255,ES
5.132.146.0,5.132.146.255,PL
5.132.147.0,5.132.147.255,PT
5.132.148.0,5.132.148.255,UA
5.132.149.0,5.132.149.255,LU
5.132.150.0,5.132.150.255,HU
5.132.151.0,5.132.152.255,TR
5.132.153.0,5.132.153.255,RS
5.132.154.0,5.132.154.255,AE
5.132.155.0,5.132.155.255,DE
5.132.156.0,5.132.156.255,CH
5.132.157.0,5.132.157.255,AT
5.132.158.0,5.132.158.255,DE
5.132.159.0,5.132.191.255,AT
5.132.192.0,5.132.255.255,SA
5.133.0.0,5.133.1.255,BA
5.133.2.0,5.133.2.255,CH
5.133.3.0,5.133.7.255,BA
5.133.8.0,5.133.15.255,PL
5.133.16.0,5.133.23.255,GB
5.133.24.0,5.133.24.255,US
5.133.25.0,5.133.25.255,PS
5.133.26.0,5.133.28.255,EG
5.133.29.0,5.133.31.255,PS
5.133.32.0,5.133.39.255,CH
5.133.40.0,5.133.47.255,GB
5.133.48.0,5.133.63.255,IT
5.133.64.0,5.133.67.255,LT
5.133.68.0,5.133.71.255,FR
5.133.72.0,5.133.75.255,GB
5.133.76.0,5.133.79.255,RU
5.133.80.0,5.133.80.255,AE
5.133.81.0,5.133.81.255,DE
5.133.82.0,5.133.83.255,US
5.133.84.0,5.133.87.255,NL
5.133.88.0,5.133.91.255,GB
5.133.92.0,5.133.93.255,BG
5.133.94.0,5.133.94.255,NL
5.133.95.0,5.133.95.255,BG
5.133.96.0,5.133.99.255,IT
5.133.100.0,5.133.103.255,TR
5.133.104.0,5.133.107.255,FI
5.133.108.0,5.133.111.255,RU
5.133.112.0,5.133.115.255,US
5.133.116.0,5.133.119.255,CA
5.133.120.0,5.133.121.255,DE
5.133.122.0,5.133.122.255,RU
5.133.123.0,5.133.123.255,DE
5.133.124.0,5.133.127.255,US
5.133.128.0,5.133.159.255,BA
5.133.160.0,5.133.167.255,GE
5.133.168.0,5.133.191.255,GB
5.133.192.0,5.133.204.127,SE
5.133.204.128,5.133.204.255,NL
5.133.205.0,5.133.205.255,US
5.133.206.0,5.133.207.159,SE
5.133.207.160,5.133.207.255,DE
5.133.208.0,5.133.210.191,SE
5.133.210.192,5.133.210.255,NL
5.133.211.0,5.133.213.191,SE
5.133.213.192,5.133.213.255,NL
5.133.214.0,5.133.216.111,SE
5.133.216.112,5.133.216.255,NL
5.133.217.0,5.133.219.143,SE
5.133.219.144,5.133.219.255,NL
5.133.220.0,5.133.222.127,SE
5.133.222.128,5.133.222.255,NL
5.133.223.0,5.133.223.255,SE
5.133.224.0,5.133.239.255,AZ
5.133.240.0,5.133.247.255,GB
5.133.248.0,5.133.255.255,PL
5.134.0.0,5.134.7.255,BE
5.134.8.0,5.134.15.255,GB
5.134.16.0,5.134.23.255,DE
5.134.24.0,5.134.31.255,CH
5.134.32.0,5.134.47.255,ES
5.134.48.0,5.134.63.255,AZ
5.134.64.0,5.134.79.255,PL
5.134.80.0,5.134.87.255,AM
5.134.88.0,5.134.95.255,IE
5.134.96.0,5.134.103.255,FR
5.134.104.0,5.134.111.255,RS
5.134.112.0,5.134.119.255,ES
5.134.120.0,5.134.127.255,IT
5.134.128.0,5.134.199.255,IR
5.134.200.0,5.134.207.255,SY
5.134.208.0,5.134.215.255,PL
5.134.216.0,5.134.223.255,RU
5.134.224.0,5.134.255.255,SY
5.135.0.0,5.135.0.255,CZ
5.135.1.0,5.135.2.15,FR
5.135.2.16,5.135.2.255,IT
5.135.3.0,5.135.3.255,PL
5.135.4.0,5.135.5.7,FR
5.135.5.8,5.135.5.255,GB
5.135.6.0,5.135.6.255,IT
5.135.7.0,5.135.7.255,DE
5.135.8.0,5.135.9.43,FR
5.135.9.44,5.135.9.255,PL
5.135.10.0,5.135.11.79,FR
5.135.11.80,5.135.11.255,IT
5.135.12.0,5.135.12.255,ES
5.135.13.0,5.135.13.255,FR
5.135.14.0,5.135.14.255,PT
5.135.15.0,5.135.15.255,FI
5.135.16.0,5.135.16.255,FR
5.135.17.0,5.135.17.255,GB
5.135.18.0,5.135.19.159,FR
5.135.19.160,5.135.19.255,IT
5.135.20.0,5.135.20.255,DE
5.135.21.0,5.135.22.79,FR
5.135.22.80,5.135.22.255,PL
5.135.23.0,5.135.24.31,GB
5.135.24.32,5.135.25.79,FR
5.135.25.80,5.135.25.255,GB
5.135.26.0,5.135.27.31,PL
5.135.27.32,5.135.28.31,FR
5.135.28.32,5.135.28.255,ES
5.135.29.0,5.135.30.31,FR
5.135.30.32,5.135.30.255,BR
5.135.31.0,5.135.32.159,FR
5.135.32.160,5.135.32.255,BE
5.135.33.0,5.135.33.255,FR
5.135.34.0,5.135.34.255,ES
5.135.35.0,5.135.35.255,BE
5.135.36.0,5.135.36.255,ES
5.135.37.0,5.135.37.255,FR
5.135.38.0,5.135.38.255,DE
5.135.39.0,5.135.39.255,FR
5.135.40.0,5.135.40.255,ES
5.135.41.0,5.135.42.31,FR
5.135.42.32,5.135.42.255,PL
5.135.43.0,5.135.44.15,FR
5.135.44.16,5.135.44.255,BE
5.135.45.0,5.135.45.255,PL
5.135.46.0,5.135.47.19,FR
5.135.47.20,5.135.47.255,DE
5.135.48.0,5.135.48.255,BR
5.135.49.0,5.135.50.95,FR
5.135.50.96,5.135.50.255,ES
5.135.51.0,5.135.52.47,FR
5.135.52.48,5.135.52.255,GB
5.135.53.0,5.135.53.255,ES
5.135.54.0,5.135.54.255,DE
5.135.55.0,5.135.58.211,FR
5.135.58.212,5.135.58.255,DE
5.135.59.0,5.135.59.255,PT
5.135.60.0,5.135.61.79,FR
5.135.61.80,5.135.61.255,FI
5.135.62.0,5.135.63.63,FR
5.135.63.64,5.135.63.255,ES
5.135.64.0,5.135.64.255,FR
5.135.65.0,5.135.65.255,PL
5.135.66.0,5.135.66.255,FR
5.135.67.0,5.135.67.255,AT
5.135.68.0,5.135.68.255,PT
5.135.69.0,5.135.70.23,FR
5.135.70.24,5.135.71.15,ES
5.135.71.16,5.135.71.255,BE
5.135.72.0,5.135.72.255,FR
5.135.73.0,5.135.73.255,ES
5.135.74.0,5.135.74.255,FR
5.135.75.0,5.135.75.255,PL
5.135.76.0,5.135.76.255,FR
5.135.77.0,5.135.77.255,ES
5.135.78.0,5.135.78.255,ZA
5.135.79.0,5.135.79.255,CZ
5.135.80.0,5.135.81.7,FR
5.135.81.8,5.135.81.255,DE
5.135.82.0,5.135.84.71,FR
5.135.84.72,5.135.84.255,ES
5.135.85.0,5.135.85.255,FR
5.135.86.0,5.135.86.255,CH
5.135.87.0,5.135.87.255,FR
5.135.88.0,5.135.88.255,ES
5.135.89.0,5.135.90.7,FR
5.135.90.8,5.135.90.255,PL
5.135.91.0,5.135.91.255,IT
5.135.92.0,5.135.93.23,FR
5.135.93.24,5.135.93.255,FI
5.135.94.0,5.135.96.51,FR
5.135.96.52,5.135.96.255,DE
5.135.97.0,5.135.97.255,FR
5.135.98.0,5.135.98.255,US
5.135.99.0,5.135.100.63,FR
5.135.100.64,5.135.100.255,BE
5.135.101.0,5.135.102.35,FR
5.135.102.36,5.135.102.255,IT
5.135.103.0,5.135.104.63,FR
5.135.104.64,5.135.104.255,IE
5.135.105.0,5.135.105.255,DE
5.135.106.0,5.135.106.255,IT
5.135.107.0,5.135.108.7,FR
5.135.108.8,5.135.108.255,IT
5.135.109.0,5.135.110.3,FR
5.135.110.4,5.135.110.255,GB
5.135.111.0,5.135.112.15,FR
5.135.112.16,5.135.112.255,ES
5.135.113.0,5.135.114.31,FR
5.135.114.32,5.135.114.255,IT
5.135.115.0,5.135.115.255,FR
5.135.116.0,5.135.116.255,PT
5.135.117.0,5.135.117.255,IE
5.135.118.0,5.135.119.31,FR
5.135.119.32,5.135.119.255,IT
5.135.120.0,5.135.121.15,FR
5.135.121.16,5.135.121.255,PL
5.135.122.0,5.135.123.31,FR
5.135.123.32,5.135.123.255,ES
5.135.124.0,5.135.125.7,FR
5.135.125.8,5.135.125.255,ES
5.135.126.0,5.135.127.63,FR
5.135.127.64,5.135.127.255,ES
5.135.128.0,5.135.168.159,FR
5.135.168.160,5.135.168.255,IE
5.135.169.0,5.135.170.15,FR
5.135.170.16,5.135.170.255,ES
5.135.171.0,5.135.172.7,FR
5.135.172.8,5.135.172.255,ES
5.135.173.0,5.135.173.255,FR
5.135.174.0,5.135.174.255,GB
5.135.175.0,5.135.192.7,FR
5.135.192.8,5.135.192.255,ES
5.135.193.0,5.135.193.255,NL
5.135.194.0,5.135.194.255,FR
5.135.195.0,5.135.195.255,ES
5.135.196.0,5.135.196.255,FR
5.135.197.0,5.135.197.255,PL
5.135.198.0,5.135.199.95,FR
5.135.199.96,5.135.199.255,ES
5.135.200.0,5.135.200.255,FR
5.135.201.0,5.135.201.255,ES
5.135.202.0,5.135.202.255,CZ
5.135.203.0,5.135.203.255,ES
5.135.204.0,5.135.204.255,BE
5.135.205.0,5.135.205.255,FR
5.135.206.0,5.135.206.255,GB
5.135.207.0,5.135.208.31,FR
5.135.208.32,5.135.208.255,SN
5.135.209.0,5.135.209.255,FR
5.135.210.0,5.135.210.223,FI
5.135.210.224,5.135.211.255,ES
5.135.212.0,5.135.212.255,BE
5.135.213.0,5.135.213.255,ES
5.135.214.0,5.135.214.255,FR
5.135.215.0,5.135.215.255,FI
5.135.216.0,5.135.217.63,FR
5.135.217.64,5.135.217.255,ES
5.135.218.0,5.135.219.7,FR
5.135.219.8,5.135.219.255,ES
5.135.220.0,5.135.221.207,FR
5.135.221.208,5.135.221.255,ES
5.135.222.0,5.135.223.31,FR
5.135.223.32,5.135.223.255,DE
5.135.224.0,5.135.225.31,FR
5.135.225.32,5.135.225.255,PL
5.135.226.0,5.135.226.255,FR
5.135.227.0,5.135.227.255,BE
5.135.228.0,5.135.228.255,FR
5.135.229.0,5.135.229.255,PT
5.135.230.0,5.135.230.255,ES
5.135.231.0,5.135.231.255,FR
5.135.232.0,5.135.232.255,ES
5.135.233.0,5.135.233.255,CZ
5.135.234.0,5.135.235.31,FR
5.135.235.32,5.135.235.255,GB
5.135.236.0,5.135.237.31,FR
5.135.237.32,5.135.237.255,PT
5.135.238.0,5.135.238.255,FR
5.135.239.0,5.135.239.255,IT
5.135.240.0,5.135.241.31,FR
5.135.241.32,5.135.241.255,PT
5.135.242.0,5.135.242.255,CH
5.135.243.0,5.135.243.255,DE
5.135.244.0,5.135.244.255,FR
5.135.245.0,5.135.245.255,FI
5.135.246.0,5.135.247.23,FR
5.135.247.24,5.135.247.255,BE
5.135.248.0,5.135.249.47,FR
5.135.249.48,5.135.249.255,PW
5.135.250.0,5.135.251.63,FR
5.135.251.64,5.135.251.255,DE
5.135.252.0,5.135.252.255,CH
5.135.253.0,5.135.254.55,FR
5.135.254.56,5.135.254.255,ES
5.135.255.0,5.135.255.255,FR
5.136.0.0,5.143.255.255,RU
5.144.0.0,5.144.47.255,CH
5.144.48.0,5.144.63.255,IL
5.144.64.0,5.144.79.255,RU
5.144.80.0,5.144.87.255,GB
5.144.88.0,5.144.89.255,NL
5.144.90.0,5.144.90.255,GB
5.144.91.0,5.144.91.255,NL
5.144.92.0,5.144.95.255,GB
5.144.96.0,5.144.127.255,RU
5.144.128.0,5.144.135.255,IR
5.144.136.0,5.144.143.255,FR
5.144.144.0,5.144.151.255,ES
5.144.152.0,5.144.159.255,GB
5.144.160.0,5.144.175.255,IT
5.144.176.0,5.144.183.255,GB
5.144.184.0,5.144.191.255,IT
5.144.192.0,5.144.255.255,GR
5.145.0.0,5.145.103.255,CH
5.145.104.0,5.145.111.255,CZ
5.145.112.0,5.145.119.255,IR
5.145.120.0,5.145.127.255,IT
5.145.128.0,5.145.143.255,DE
5.145.144.0,5.145.145.255,US
5.145.146.0,5.145.146.255,SE
5.145.147.0,5.145.147.255,US
5.145.148.0,5.145.151.255,DE
5.145.152.0,5.145.159.255,NO
5.145.160.0,5.145.167.255,RU
5.145.168.0,5.145.169.63,ES
5.145.169.64,5.145.169.255,BR
5.145.170.0,5.145.175.255,ES
5.145.176.0,5.145.179.255,DE
5.145.180.0,5.145.183.255,TW
5.145.184.0,5.145.191.255,DE
5.145.192.0,5.145.255.255,RU
5.146.0.0,5.147.255.255,DE
5.148.0.0,5.148.159.255,GB
5.148.160.0,5.148.191.255,CH
5.148.192.0,5.148.255.255,HU
5.149.0.0,5.149.7.255,CH
5.149.8.0,5.149.15.255,GB
5.149.16.0,5.149.63.255,CH
5.149.64.0,5.149.95.255,BA
5.149.96.0,5.149.111.255,IQ
5.149.112.0,5.149.117.255,LU
5.149.118.0,5.149.118.255,US
5.149.119.0,5.149.119.255,LU
5.149.120.0,5.149.127.255,UA
5.149.128.0,5.149.128.255,AT
5.149.129.0,5.149.135.255,SA
5.149.136.0,5.149.143.255,BE
5.149.144.0,5.149.159.255,RU
5.149.160.0,5.149.167.255,PL
5.149.168.0,5.149.175.255,IE
5.149.176.0,5.149.191.255,FR
5.149.192.0,5.149.199.255,PL
5.149.200.0,5.149.223.255,RU
5.149.224.0,5.149.239.255,DE
5.149.240.0,5.149.247.255,HU
5.149.248.0,5.149.249.255,NL
5.149.250.0,5.149.251.255,GB
5.149.252.0,5.149.253.255,CA
5.149.254.0,5.149.255.255,NL
5.150.0.0,5.150.127.255,GB
5.150.128.0,5.150.143.255,IT
5.150.144.0,5.150.151.255,IE
5.150.152.0,5.150.155.255,GB
5.150.156.0,5.150.157.255,FR
5.150.158.0,5.150.158.255,US
5.150.159.0,5.150.159.255,FR
5.150.160.0,5.150.191.255,GB
5.150.192.0,5.150.255.255,SE
5.151.0.0,5.151.33.31,GB
5.151.33.32,5.151.33.255,DE
5.151.34.0,5.151.255.255,GB
5.152.0.0,5.152.127.255,GE
5.152.128.0,5.152.159.255,IT
5.152.160.0,5.152.167.255,PL
5.152.168.0,5.152.175.255,ES
5.152.176.0,5.152.176.255,GB
5.152.177.0,5.152.177.255,HK
5.152.178.0,5.152.178.255,NL
5.152.179.0,5.152.183.255,US
5.152.184.0,5.152.191.255,CH
5.152.192.0,5.152.223.255,GB
5.152.224.0,5.152.231.255,LV
5.152.232.0,5.152.239.255,BA
5.152.240.0,5.152.247.255,IT
5.152.248.0,5.152.255.255,AE
5.153.0.0,5.153.0.255,NL
5.153.1.0,5.153.1.239,DE
5.153.1.240,5.153.2.255,NL
5.153.3.0,5.153.3.255,GB
5.153.4.0,5.153.4.255,US
5.153.5.0,5.153.5.255,RO
5.153.6.0,5.153.7.15,NL
5.153.7.16,5.153.7.255,IT
5.153.8.0,5.153.9.95,NL
5.153.9.96,5.153.9.255,JO
5.153.10.0,5.153.10.255,SA
5.153.11.0,5.153.12.39,NL
5.153.12.40,5.153.12.255,DE
5.153.13.0,5.153.13.255,HK
5.153.14.0,5.153.15.23,NL
5.153.15.24,5.153.15.230,IN
5.153.15.231,5.153.17.7,NL
5.153.17.8,5.153.17.239,TR
5.153.17.240,5.153.19.3,NL
5.153.19.4,5.153.19.255,IN
5.153.20.0,5.153.20.255,NL
5.153.21.0,5.153.21.255,AU
5.153.22.0,5.153.22.255,DK
5.153.23.0,5.153.23.255,MA
5.153.24.0,5.153.25.95,NL
5.153.25.96,5.153.25.251,MY
5.153.25.252,5.153.27.175,NL
5.153.27.176,5.153.27.255,CY
5.153.28.0,5.153.29.31,NL
5.153.29.32,5.153.29.255,GB
5.153.30.0,5.153.31.17,NL
5.153.31.18,5.153.31.255,SG
5.153.32.0,5.153.33.39,NL
5.153.33.40,5.153.33.239,US
5.153.33.240,5.153.34.255,NL
5.153.35.0,5.153.35.255,SE
5.153.36.0,5.153.37.31,NL
5.153.37.32,5.153.37.255,US
5.153.38.0,5.153.39.7,NL
5.153.39.8,5.153.39.255,CY
5.153.40.0,5.153.40.255,NL
5.153.41.0,5.153.41.255,SE
5.153.42.0,5.153.42.255,NL
5.153.43.0,5.153.43.255,AT
5.153.44.0,5.153.44.255,DE
5.153.45.0,5.153.45.223,FR
5.153.45.224,5.153.47.95,NL
5.153.47.96,5.153.47.255,ES
5.153.48.0,5.153.49.11,NL
5.153.49.12,5.153.49.255,CH
5.153.50.0,5.153.50.255,NL
5.153.51.0,5.153.51.255,BO
5.153.52.0,5.153.52.255,DE
5.153.53.0,5.153.54.23,NL
5.153.54.24,5.153.54.255,US
5.153.55.0,5.153.56.15,NL
5.153.56.16,5.153.56.255,BR
5.153.57.0,5.153.58.207,NL
5.153.58.208,5.153.58.239,IT
5.153.58.240,5.153.60.7,NL
5.153.60.8,5.153.60.255,GB
5.153.61.0,5.153.62.103,NL
5.153.62.104,5.153.62.255,CH
5.153.63.0,5.153.63.255,NL
5.153.64.0,5.153.103.255,GB
5.153.104.0,5.153.111.255,NO
5.153.112.0,5.153.127.255,CH
5.153.128.0,5.153.163.255,UA
5.153.164.0,5.153.167.255,RU
5.153.168.0,5.153.191.255,UA
5.153.192.0,5.153.231.255,GB
5.153.232.0,5.153.234.255,SE
5.153.235.0,5.153.235.255,GB
5.153.236.0,5.153.236.255,SE
5.153.237.0,5.153.238.255,PL
5.153.239.0,5.153.239.255,SE
5.153.240.0,5.153.247.255,CH
5.153.248.0,5.153.255.255,GB
5.154.0.0,5.154.127.255,ES
5.154.128.0,5.154.131.255,GB
5.154.132.0,5.154.135.255,NL
5.154.136.0,5.154.137.255,CZ
5.154.138.0,5.154.139.255,IT
5.154.140.0,5.154.143.255,SE
5.154.144.0,5.154.157.255,DE
5.154.158.0,5.154.159.255,FR
5.154.160.0,5.154.167.255,DE
5.154.168.0,5.154.169.255,BA
5.154.170.0,5.154.171.255,RO
5.154.172.0,5.154.173.255,ES
5.154.174.0,5.154.174.255,PT
5.154.175.0,5.154.182.255,RO
5.154.183.0,5.154.184.255,GB
5.154.185.0,5.154.185.255,ES
5.154.186.0,5.154.186.255,RO
5.154.187.0,5.154.189.255,GB
5.154.190.0,5.154.191.255,RO
5.154.192.0,5.154.223.255,IT
5.154.224.0,5.154.224.255,RO
5.154.225.0,5.154.225.255,RS
5.154.226.0,5.154.227.255,RO
5.154.228.0,5.154.229.255,BA
5.154.230.0,5.154.231.255,RO
5.154.232.0,5.154.232.255,GB
5.154.233.0,5.154.233.255,RO
5.154.234.0,5.154.235.255,ES
5.154.236.0,5.154.239.255,RO
5.154.240.0,5.154.240.255,US
5.154.241.0,5.154.241.255,ES
5.154.242.0,5.154.242.255,GB
5.154.243.0,5.154.243.255,RO
5.154.244.0,5.154.247.255,SE
5.154.248.0,5.154.251.255,BA
5.154.252.0,5.154.255.255,RO
5.155.0.0,5.155.255.255,SY
5.156.0.0,5.156.255.255,SA
5.157.0.0,5.157.0.255,IS
5.157.1.0,5.157.1.255,CZ
5.157.2.0,5.157.2.255,DK
5.157.3.0,5.157.3.255,DE
5.157.4.0,5.157.5.255,CH
5.157.6.0,5.157.6.255,SE
5.157.7.0,5.157.7.255,ES
5.157.8.0,5.157.8.255,NL
5.157.9.0,5.157.9.255,IT
5.157.10.0,5.157.10.255,DK
5.157.11.0,5.157.11.255,GB
5.157.12.0,5.157.14.255,IE
5.157.15.0,5.157.15.255,LV
5.157.16.0,5.157.16.255,LT
5.157.17.0,5.157.17.255,FI
5.157.18.0,5.157.18.255,SK
5.157.19.0,5.157.19.255,AT
5.157.20.0,5.157.20.255,PT
5.157.21.0,5.157.22.255,DE
5.157.23.0,5.157.23.255,FI
5.157.24.0,5.157.24.255,DK
5.157.25.0,5.157.25.255,CZ
5.157.26.0,5.157.26.255,SI
5.157.27.0,5.157.27.255,LU
5.157.28.0,5.157.28.255,GB
5.157.29.0,5.157.29.255,BG
5.157.30.0,5.157.30.255,GB
5.157.31.0,5.157.31.255,LV
5.157.32.0,5.157.33.255,RU
5.157.34.0,5.157.34.255,DK
5.157.35.0,5.157.35.255,RU
5.157.36.0,5.157.37.255,SE
5.157.38.0,5.157.39.255,IS
5.157.40.0,5.157.40.255,DK
5.157.41.0,5.157.42.255,GB
5.157.43.0,5.157.43.255,IT
5.157.44.0,5.157.44.255,EE
5.157.45.0,5.157.45.255,LV
5.157.46.0,5.157.46.255,GB
5.157.47.0,5.157.47.255,LT
5.157.48.0,5.157.48.255,SE
5.157.49.0,5.157.49.255,NO
5.157.50.0,5.157.50.255,SE
5.157.51.0,5.157.51.255,FR
5.157.52.0,5.157.52.255,EE
5.157.53.0,5.157.53.255,SE
5.157.54.0,5.157.55.255,IE
5.157.56.0,5.157.56.255,SE
5.157.57.0,5.157.57.255,FI
5.157.58.0,5.157.63.255,NL
5.157.64.0,5.157.71.255,GB
5.157.72.0,5.157.79.255,SI
5.157.80.0,5.157.95.255,NL
5.157.96.0,5.157.127.255,IT
5.157.128.0,5.157.255.255,RO
5.158.0.0,5.158.63.255,PT
5.158.64.0,5.158.79.255,IT
5.158.80.0,5.158.87.255,ES
5.158.88.0,5.158.95.255,GB
5.158.96.0,5.158.127.255,RU
5.158.128.0,5.158.191.255,DE
5.158.192.0,5.158.199.255,NO
5.158.200.0,5.158.210.255,FR
5.158.211.0,5.158.211.255,ES
5.158.212.0,5.158.215.255,GB
5.158.216.0,5.158.223.255,ES
5.158.224.0,5.158.231.255,GB
