62.0.0.0,62.0.255.255,IL
62.67.62.0,62.67.62.255,DK
62.67.63.0,62.67.63.255,DE
62.67.64.0,62.67.183.255,FR
62.67.184.0,62.67.185.15,DE
62.67.185.16,62.67.185.255,BS
62.67.186.0,62.67.186.255,AT
62.67.187.0,62.67.187.255,DK
62.67.188.0,62.67.188.231,GB
62.67.188.232,62.67.190.111,FR
62.67.190.112,62.67.190.255,TR
62.67.191.0,62.67.191.255,FR
62.67.192.0,62.67.194.255,DE
62.67.195.0,62.67.197.255,FR
62.67.198.0,62.67.198.255,DE
62.67.199.0,62.67.199.255,FR
62.67.200.0,62.67.200.255,DE
62.67.201.0,62.67.202.255,FR
62.67.203.0,62.67.203.255,DE
62.67.204.0,62.67.207.255,FR
62.67.208.0,62.67.209.143,DE
62.67.209.144,62.67.209.255,FR
62.67.210.0,62.67.210.255,BG
62.67.211.0,62.67.212.7,DE
62.67.212.8,62.67.212.255,PL
62.67.213.0,62.67.213.255,DE
62.67.214.0,62.67.214.255,AT
62.67.215.0,62.67.217.255,DE
62.67.218.0,62.67.218.255,FR
62.67.219.0,62.67.221.59,DE
62.67.221.60,62.67.221.255,FR
62.67.222.0,62.67.222.255,SG
62.67.223.0,62.67.223.255,PL
62.67.224.0,62.67.225.255,US
62.67.226.0,62.67.233.31,DE
62.67.233.32,62.67.234.7,FR
62.67.234.8,62.67.235.255,DE
62.67.236.0,62.67.236.255,FR
62.67.237.0,62.67.238.255,DE
62.67.239.0,62.67.239.255,US
62.67.240.0,62.67.253.255,DE
62.67.254.0,62.67.255.255,FR
62.68.0.0,62.68.31.255,DE
62.68.32.0,62.68.63.255,LY
62.68.64.0,62.68.95.255,GR
62.68.96.0,62.68.127.255,BA
62.68.128.0,62.68.159.255,RU
62.68.160.0,62.68.169.255,JE
62.68.170.0,62.68.175.255,GB
62.68.176.0,62.68.177.255,JE
62.68.178.0,62.68.178.255,GB
62.68.179.0,62.68.179.255,JE
62.68.180.0,62.68.180.255,GB
62.68.181.0,62.68.181.255,JE
62.68.182.0,62.68.183.255,GB
62.68.184.0,62.68.184.255,JE
62.68.185.0,62.68.187.255,GB
62.68.188.0,62.68.190.255,IM
62.68.191.0,62.68.191.255,GB
62.68.192.0,62.68.207.255,AT
62.68.208.0,62.68.208.255,DE
62.68.209.0,62.68.210.255,AT
62.68.211.0,62.68.212.167,DE
62.68.212.168,62.68.213.255,AT
62.68.214.0,62.68.214.255,DE
62.68.215.0,62.68.223.255,AT
62.68.224.0,62.68.255.255,EG
62.69.0.0,62.69.31.255,RU
62.69.32.0,62.69.127.255,GB
62.69.128.0,62.69.135.255,IT
62.69.136.0,62.69.143.255,GB
62.69.144.0,62.69.151.255,DE
62.69.152.0,62.69.159.255,DK
62.69.160.0,62.69.191.255,NL
62.69.192.0,62.69.255.255,PL
62.70.0.0,62.70.1.15,NO
62.70.1.16,62.70.1.255,GB
62.70.2.0,62.70.5.95,NO
62.70.5.96,62.70.5.255,GB
62.70.6.0,62.70.6.255,NO
62.70.7.0,62.70.7.255,GB
62.70.8.0,62.70.8.255,NO
62.70.9.0,62.70.10.255,GB
62.70.11.0,62.70.12.255,NO
62.70.13.0,62.70.14.255,GB
62.70.15.0,62.70.16.127,NO
62.70.16.128,62.70.17.255,GB
62.70.18.0,62.70.19.255,NO
62.70.20.0,62.70.20.255,GB
62.70.21.0,62.70.24.127,NO
62.70.24.128,62.70.26.255,GB
62.70.27.0,62.70.27.255,NO
62.70.28.0,62.70.30.255,GB
62.70.31.0,62.70.31.255,NO
62.70.32.0,62.70.39.159,GB
62.70.39.160,62.70.39.239,NO
62.70.39.240,62.70.46.255,GB
62.70.47.0,62.70.47.255,NO
62.70.48.0,62.70.48.255,GB
62.70.49.0,62.70.49.127,NO
62.70.49.128,62.70.53.159,GB
62.70.53.160,62.70.53.223,NO
62.70.53.224,62.70.58.223,GB
62.70.58.224,62.70.58.255,NO
62.70.59.0,62.70.62.223,GB
62.70.62.224,62.70.62.255,NO
62.70.63.0,62.70.75.127,GB
62.70.75.128,62.70.75.159,NO
62.70.75.160,62.70.77.63,GB
62.70.77.64,62.70.77.127,NO
62.70.77.128,62.70.78.255,GB
62.70.79.0,62.70.79.255,NO
62.70.80.0,62.70.88.255,GB
62.70.89.0,62.70.90.255,NO
62.70.91.0,62.70.98.15,GB
62.70.98.16,62.70.98.31,NO
62.70.98.32,62.70.99.255,GB
62.70.100.0,62.70.100.255,NO
62.70.101.0,62.70.102.255,GB
62.70.103.0,62.70.103.207,NO
62.70.103.208,62.70.202.255,GB
62.70.203.0,62.70.203.255,NO
62.70.204.0,62.70.233.255,GB
62.70.234.0,62.70.234.255,NO
62.70.235.0,62.70.255.255,GB
62.71.0.0,62.71.255.255,FI
62.72.0.0,62.72.0.255,GB
62.72.1.0,62.72.1.255,US
62.72.2.0,62.72.2.255,GB
62.72.3.0,62.72.3.255,US
62.72.4.0,62.72.5.255,GB
62.72.6.0,62.72.11.255,US
62.72.12.0,62.72.12.255,GB
62.72.13.0,62.72.14.255,US
62.72.15.0,62.72.15.255,GB
62.72.16.0,62.72.16.255,US
62.72.17.0,62.72.17.255,GB
62.72.18.0,62.72.20.255,US
62.72.21.0,62.72.22.255,GB
62.72.23.0,62.72.24.255,US
62.72.25.0,62.72.25.255,GB
62.72.26.0,62.72.26.255,US
62.72.27.0,62.72.28.255,GB
62.72.29.0,62.72.29.255,US
62.72.30.0,62.72.30.255,GB
62.72.31.0,62.72.31.255,US
62.72.32.0,62.72.39.255,GB
62.72.40.0,62.72.41.255,US
62.72.42.0,62.72.43.255,DE
62.72.44.0,62.72.44.255,GB
62.72.45.0,62.72.45.255,DE
62.72.46.0,62.72.46.63,GB
62.72.46.64,62.72.47.255,DE
62.72.48.0,62.72.48.15,GB
62.72.48.16,62.72.51.255,DE
62.72.52.0,62.72.55.255,GB
62.72.56.0,62.72.63.255,US
62.72.64.0,62.72.95.255,DE
62.72.96.0,62.72.97.31,BE
62.72.97.32,62.72.97.255,FR
62.72.98.0,62.72.98.255,BE
62.72.99.0,62.72.99.255,LU
62.72.100.0,62.72.103.255,BE
62.72.104.0,62.72.104.255,LU
62.72.105.0,62.72.107.39,BE
62.72.107.40,62.72.107.255,LU
62.72.108.0,62.72.110.159,BE
62.72.110.160,62.72.110.255,LU
62.72.111.0,62.72.113.15,BE
62.72.113.16,62.72.113.255,LU
62.72.114.0,62.72.115.7,BE
62.72.115.8,62.72.115.255,LU
62.72.116.0,62.72.118.87,BE
62.72.118.88,62.72.118.255,CH
62.72.119.0,62.72.121.215,BE
62.72.121.216,62.72.121.255,DE
62.72.122.0,62.72.124.231,BE
62.72.124.232,62.72.124.251,NL
62.72.124.252,62.72.126.111,BE
62.72.126.112,62.72.126.255,NL
62.72.127.0,62.72.127.255,LU
62.72.128.0,62.72.159.255,GB
62.72.160.0,62.72.191.255,UA
62.72.192.0,62.72.223.255,NL
62.72.224.0,62.72.255.255,FI
62.73.0.0,62.73.6.255,FR
62.73.7.0,62.73.10.255,GB
62.73.11.0,62.73.31.255,FR
62.73.32.0,62.73.63.255,FI
62.73.64.0,62.73.127.255,BG
62.73.128.0,62.73.163.255,GB
62.73.164.0,62.73.164.255,JP
62.73.165.0,62.73.167.39,GB
62.73.167.40,62.73.167.255,IT
62.73.168.0,62.73.169.39,GB
62.73.169.40,62.73.169.255,IL
62.73.170.0,62.73.171.31,GB
62.73.171.32,62.73.171.255,IT
62.73.172.0,62.73.172.255,NL
62.73.173.0,62.73.175.255,GB
62.73.176.0,62.73.177.255,ES
62.73.178.0,62.73.181.135,GB
62.73.181.136,62.73.181.255,FR
62.73.182.0,62.73.182.255,GB
62.73.183.0,62.73.184.39,ES
62.73.184.40,62.73.184.255,FR
62.73.185.0,62.73.186.255,GB
62.73.187.0,62.73.188.255,FR
62.73.189.0,62.73.189.255,GB
62.73.190.0,62.73.190.255,JP
62.73.191.0,62.73.191.255,ES
62.73.192.0,62.73.200.79,NO
62.73.200.80,62.73.200.255,SE
62.73.201.0,62.73.255.255,NO
62.74.0.0,62.75.64.255,GR
62.75.65.0,62.75.66.255,AL
62.75.67.0,62.75.127.255,GR
62.75.128.0,62.75.130.166,DE
62.75.130.167,62.75.130.255,CH
62.75.131.0,62.75.167.40,DE
62.75.167.41,62.75.167.255,TR
62.75.168.0,62.75.179.201,DE
62.75.179.202,62.75.179.255,FR
62.75.180.0,62.75.183.68,DE
62.75.183.69,62.75.183.255,PK
62.75.184.0,62.75.194.124,DE
62.75.194.125,62.75.194.247,FR
62.75.194.248,62.75.196.44,DE
62.75.196.45,62.75.196.214,GT
62.75.196.215,62.75.198.1,DE
62.75.198.2,62.75.198.247,FR
62.75.198.248,62.75.201.5,DE
62.75.201.6,62.75.201.197,FR
62.75.201.198,62.75.202.255,DE
62.75.203.0,62.75.203.255,NL
62.75.204.0,62.75.204.255,DE
62.75.205.0,62.75.205.255,CH
62.75.206.0,62.75.207.3,DE
62.75.207.4,62.75.207.255,FR
62.75.208.0,62.75.217.5,DE
62.75.217.6,62.75.217.190,BG
62.75.217.191,62.75.223.10,DE
62.75.223.11,62.75.223.255,LK
62.75.224.0,62.75.228.43,DE
62.75.228.44,62.75.228.255,NL
62.75.229.0,62.75.230.97,DE
62.75.230.98,62.75.230.255,RU
62.75.231.0,62.75.234.192,DE
62.75.234.193,62.75.234.255,FR
62.75.235.0,62.75.237.2,DE
62.75.237.3,62.75.237.255,PK
62.75.238.0,62.75.254.64,DE
62.75.254.65,62.75.254.222,UA
62.75.254.223,62.75.255.255,DE
62.76.0.0,62.76.87.255,RU
62.76.88.0,62.76.90.24,IR
62.76.90.25,62.76.90.25,RU
62.76.90.26,62.76.91.255,IR
62.76.92.0,62.76.99.255,RU
62.76.100.0,62.76.103.255,IR
62.76.104.0,62.76.111.255,RU
62.76.112.0,62.76.115.255,IR
62.76.116.0,62.76.247.255,RU
62.76.248.0,62.76.248.255,TR
62.76.249.0,62.76.249.255,RU
62.76.250.0,62.76.253.255,TR
62.76.254.0,62.76.254.255,PL
62.76.255.0,62.76.255.255,TR
62.77.0.0,62.77.31.255,GB
62.77.32.0,62.77.63.255,IT
62.77.64.0,62.77.127.255,CZ
62.77.128.0,62.77.130.255,HU
62.77.131.0,62.77.131.255,BZ
62.77.132.0,62.77.135.255,HU
62.77.136.0,62.77.143.255,MK
62.77.144.0,62.77.151.255,HU
62.77.152.0,62.77.159.255,LT
62.77.160.0,62.77.161.15,IE
62.77.161.16,62.77.161.255,GB
62.77.162.0,62.77.163.247,IE
62.77.163.248,62.77.163.255,GB
62.77.164.0,62.77.165.67,IE
62.77.165.68,62.77.165.255,GB
62.77.166.0,62.77.167.23,IE
62.77.167.24,62.77.167.255,GB
62.77.168.0,62.77.169.27,IE
62.77.169.28,62.77.169.255,GB
62.77.170.0,62.77.171.167,IE
62.77.171.168,62.77.171.255,GB
62.77.172.0,62.77.175.3,IE
62.77.175.4,62.77.175.255,GB
62.77.176.0,62.77.177.35,IE
62.77.177.36,62.77.177.255,GB
62.77.178.0,62.77.179.7,IE
62.77.179.8,62.77.179.255,GB
62.77.180.0,62.77.182.55,IE
62.77.182.56,62.77.182.255,GB
62.77.183.0,62.77.184.15,IE
62.77.184.16,62.77.184.255,GB
62.77.185.0,62.77.186.79,IE
62.77.186.80,62.77.186.255,GB
62.77.187.0,62.77.188.103,IE
62.77.188.104,62.77.188.255,GB
62.77.189.0,62.77.190.115,IE
62.77.190.116,62.77.190.255,GB
62.77.191.0,62.77.191.255,IE
62.77.192.0,62.77.255.255,HU
62.78.0.0,62.78.3.255,US
62.78.4.0,62.78.15.255,FR
62.78.16.0,62.78.31.255,US
62.78.32.0,62.78.63.255,RU
62.78.64.0,62.78.79.255,DE
62.78.80.0,62.78.95.255,RU
62.78.96.0,62.78.100.21,FI
62.78.100.22,62.78.100.255,SE
62.78.101.0,62.78.106.145,FI
62.78.106.146,62.78.106.251,SE
62.78.106.252,62.78.113.255,FI
62.78.114.0,62.78.115.255,SE
62.78.116.0,62.78.117.255,FI
62.78.118.0,62.78.123.255,SE
62.78.124.0,62.78.255.255,FI
62.79.0.0,62.79.255.255,DK
62.80.0.0,62.80.1.15,GB
62.80.1.16,62.80.2.7,DE
62.80.2.8,62.80.2.127,GB
62.80.2.128,62.80.4.19,DE
62.80.4.20,62.80.5.63,GB
62.80.5.64,62.80.7.255,DE
62.80.8.0,62.80.9.255,GB
62.80.10.0,62.80.13.15,DE
62.80.13.16,62.80.14.103,GB
62.80.14.104,62.80.14.255,DE
62.80.15.0,62.80.16.15,GB
62.80.16.16,62.80.17.95,DE
62.80.17.96,62.80.18.15,GB
62.80.18.16,62.80.18.243,DE
62.80.18.244,62.80.19.255,GB
62.80.20.0,62.80.21.15,DE
62.80.21.16,62.80.22.15,GB
62.80.22.16,62.80.23.183,DE
62.80.23.184,62.80.23.239,GB
62.80.23.240,62.80.24.255,DE
62.80.25.0,62.80.26.119,GB
62.80.26.120,62.80.27.75,DE
62.80.27.76,62.80.28.31,GB
62.80.28.32,62.80.28.255,DE
62.80.29.0,62.80.30.31,GB
62.80.30.32,62.80.30.239,DE
62.80.30.240,62.80.32.223,GB
62.80.32.224,62.80.32.247,DE
62.80.32.248,62.80.33.255,GB
62.80.34.0,62.80.34.247,DE
62.80.34.248,62.80.37.47,GB
62.80.37.48,62.80.37.255,DE
62.80.38.0,62.80.40.47,GB
62.80.40.48,62.80.40.255,DE
62.80.41.0,62.80.42.55,GB
62.80.42.56,62.80.42.231,DE
62.80.42.232,62.80.48.255,GB
62.80.49.0,62.80.49.255,DE
62.80.50.0,62.80.50.255,GB
62.80.51.0,62.80.51.255,DE
62.80.52.0,62.80.53.143,GB
62.80.53.144,62.80.53.151,DE
62.80.53.152,62.80.63.255,GB
62.80.64.0,62.80.79.255,HU
62.80.80.0,62.80.86.255,CZ
62.80.87.0,62.80.87.255,SK
62.80.88.0,62.80.95.255,CZ
62.80.96.0,62.80.119.255,DE
62.80.120.0,62.80.121.255,FR
62.80.122.0,62.80.127.255,DE
62.80.128.0,62.80.159.255,FI
62.80.160.0,62.80.191.255,UA
62.80.192.0,62.80.223.255,SE
62.80.224.0,62.80.255.255,LT
62.81.0.0,62.82.34.223,ES
62.82.34.224,62.82.34.255,GB
62.82.35.0,62.83.255.255,ES
62.84.0.0,62.84.31.255,LV
62.84.32.0,62.84.63.255,KZ
62.84.64.0,62.84.95.255,LB
62.84.96.0,62.84.127.255,RU
62.84.128.0,62.84.144.99,CZ
62.84.144.100,62.84.144.255,NL
62.84.145.0,62.84.148.47,CZ
62.84.148.48,62.84.148.255,GB
62.84.149.0,62.84.154.239,CZ
62.84.154.240,62.84.154.255,KR
62.84.155.0,62.84.159.255,CZ
62.84.160.0,62.84.191.255,GB
62.84.192.0,62.84.193.7,SE
62.84.193.8,62.84.193.255,BE
62.84.194.0,62.84.195.23,SE
62.84.195.24,62.84.195.255,FI
62.84.196.0,62.84.197.191,SE
62.84.197.192,62.84.197.255,NL
62.84.198.0,62.84.203.255,SE
62.84.204.0,62.84.204.255,ES
62.84.205.0,62.84.205.255,DE
62.84.206.0,62.84.206.255,IT
62.84.207.0,62.84.211.199,SE
62.84.211.200,62.84.211.255,DK
62.84.212.0,62.84.212.255,SE
62.84.213.0,62.84.213.255,AT
62.84.214.0,62.84.214.255,DE
62.84.215.0,62.84.219.255,SE
62.84.220.0,62.84.221.143,DE
62.84.221.144,62.84.221.255,PL
62.84.222.0,62.84.223.255,SE
62.84.224.0,62.84.239.255,SI
62.84.240.0,62.84.247.255,NL
62.84.248.0,62.84.255.255,UA
62.85.0.0,62.85.127.255,LV
62.85.128.0,62.85.159.255,FR
62.85.160.0,62.86.255.255,IT
62.87.0.0,62.87.127.255,ES
62.87.128.0,62.87.255.255,PL
62.88.0.0,62.88.127.255,BE
62.88.128.0,62.88.255.255,SE
62.89.0.0,62.89.31.255,AM
62.89.32.0,62.89.63.255,NO
62.89.64.0,62.89.127.255,PL
62.89.128.0,62.89.159.255,GB
62.89.160.0,62.89.191.255,DE
62.89.192.0,62.89.207.255,RU
62.89.208.0,62.89.211.255,TJ
62.89.212.0,62.89.255.255,RU
62.90.0.0,62.90.251.255,IL
62.90.252.0,62.90.252.255,LR
62.90.253.0,62.90.255.255,IL
62.91.0.0,62.91.255.255,DE
62.92.0.0,62.92.16.175,NO
62.92.16.176,62.92.16.255,SE
62.92.17.0,62.92.78.31,NO
62.92.78.32,62.92.78.255,SE
62.92.79.0,62.92.255.255,NO
62.93.0.0,62.93.31.255,DE
62.93.32.0,62.93.63.255,PL
62.93.64.0,62.93.68.255,AT
62.93.69.0,62.93.69.255,MK
62.93.70.0,62.93.72.127,AT
62.93.72.128,62.93.72.255,MK
62.93.73.0,62.93.77.191,AT
62.93.77.192,62.93.77.255,MK
62.93.78.0,62.93.89.255,AT
62.93.90.0,62.93.91.127,MK
62.93.91.128,62.93.91.255,AT
62.93.92.0,62.93.94.255,MK
62.93.95.0,62.93.104.63,AT
62.93.104.64,62.93.105.255,MK
62.93.106.0,62.93.109.255,AT
62.93.110.0,62.93.110.255,MK
62.93.111.0,62.93.127.255,AT
62.93.128.0,62.93.129.255,FR
62.93.130.0,62.93.131.255,IT
62.93.132.0,62.93.133.255,FR
62.93.134.0,62.93.135.255,DK
62.93.136.0,62.93.137.255,ES
62.93.138.0,62.93.140.255,NL
62.93.141.0,62.93.141.255,GB
62.93.142.0,62.93.159.255,NL
62.93.160.0,62.93.175.111,ES
62.93.175.112,62.93.175.255,FR
62.93.176.0,62.93.191.255,ES
62.93.192.0,62.93.193.255,DE
62.93.194.0,62.93.194.255,NL
62.93.195.0,62.93.195.255,FR
62.93.196.0,62.93.197.127,DE
62.93.197.128,62.93.197.255,NL
62.93.198.0,62.93.198.63,DE
62.93.198.64,62.93.199.255,NL
62.93.200.0,62.93.207.255,DE
62.93.208.0,62.93.209.255,NL
62.93.210.0,62.93.210.95,DE
62.93.210.96,62.93.211.255,NL
62.93.212.0,62.93.213.255,DE
62.93.214.0,62.93.215.255,NL
62.93.216.0,62.93.223.255,DE
62.93.224.0,62.93.224.255,NL
62.93.225.0,62.93.225.255,FR
62.93.226.0,62.93.231.255,NL
62.93.232.0,62.93.232.255,CH
62.93.233.0,62.93.233.255,DE
62.93.234.0,62.93.234.15,CH
62.93.234.16,62.93.238.255,DE
62.93.239.0,62.93.245.255,NL
62.93.246.0,62.93.255.255,DE
62.94.0.0,62.94.255.255,IT
62.95.0.0,62.95.127.255,SE
62.95.128.0,62.96.11.119,DE
62.96.11.120,62.96.11.255,IE
62.96.12.0,62.96.15.87,DE
62.96.15.88,62.96.15.255,UA
62.96.16.0,62.96.17.247,DE
62.96.17.248,62.96.17.255,BE
62.96.18.0,62.96.19.87,DE
62.96.19.88,62.96.19.255,CH
62.96.20.0,62.96.26.63,DE
62.96.26.64,62.96.26.255,PT
62.96.27.0,62.96.40.7,DE
62.96.40.8,62.96.41.47,FR
62.96.41.48,62.96.41.255,BE
62.96.42.0,62.96.47.159,DE
62.96.47.160,62.96.47.255,FR
62.96.48.0,62.96.54.215,DE
62.96.54.216,62.96.54.255,BE
62.96.55.0,62.96.57.255,DE
62.96.58.0,62.96.58.255,GB
62.96.59.0,62.96.65.223,DE
62.96.65.224,62.96.65.255,RU
62.96.66.0,62.96.71.151,DE
62.96.71.152,62.96.71.255,BE
62.96.72.0,62.96.80.183,DE
62.96.80.184,62.96.80.255,FR
62.96.81.0,62.96.85.255,DE
62.96.86.0,62.96.87.255,GB
62.96.88.0,62.96.96.191,DE
62.96.96.192,62.96.96.255,GB
62.96.97.0,62.96.99.95,DE
62.96.99.96,62.96.99.255,AT
62.96.100.0,62.96.103.127,DE
62.96.103.128,62.96.103.255,PL
62.96.104.0,62.96.108.127,DE
62.96.108.128,62.96.108.255,NL
62.96.109.0,62.96.111.255,DE
62.96.112.0,62.96.112.175,GB
62.96.112.176,62.96.114.47,DE
62.96.114.48,62.96.114.255,PT
62.96.115.0,62.96.115.255,GB
62.96.116.0,62.96.116.255,ES
62.96.117.0,62.96.117.255,GB
62.96.118.0,62.96.118.255,IT
62.96.119.0,62.96.123.255,DE
62.96.124.0,62.96.126.255,GB
62.96.127.0,62.96.127.255,DE
62.96.128.0,62.96.128.255,GB
62.96.129.0,62.96.131.159,DE
62.96.131.160,62.96.131.255,US
62.96.132.0,62.96.137.15,DE
62.96.137.16,62.96.137.255,CH
62.96.138.0,62.96.149.95,DE
62.96.149.96,62.96.149.255,GB
62.96.150.0,62.96.151.79,DE
62.96.151.80,62.96.151.255,SE
62.96.152.0,62.96.154.71,DE
62.96.154.72,62.96.154.255,GB
62.96.155.0,62.96.156.7,DE
62.96.156.8,62.96.156.255,GB
62.96.157.0,62.96.158.27,DE
62.96.158.28,62.96.158.255,GB
62.96.159.0,62.96.159.247,DE
62.96.159.248,62.96.176.255,GB
62.96.177.0,62.96.177.255,DE
62.96.178.0,62.96.178.255,GB
62.96.179.0,62.96.181.207,DE
62.96.181.208,62.96.181.255,GB
62.96.182.0,62.96.182.255,DE
62.96.183.0,62.96.183.255,GB
62.96.184.0,62.96.185.87,DE
62.96.185.88,62.96.185.255,GB
62.96.186.0,62.96.191.255,DE
62.96.192.0,62.96.192.255,GB
62.96.193.0,62.96.193.255,DE
62.96.194.0,62.96.194.255,GB
62.96.195.0,62.96.195.255,DE
62.96.196.0,62.96.196.255,GB
62.96.197.0,62.96.202.175,DE
62.96.202.176,62.96.202.255,GB
62.96.203.0,62.96.204.23,DE
62.96.204.24,62.96.204.255,GB
62.96.205.0,62.96.207.255,DE
62.96.208.0,62.96.211.255,GB
62.96.212.0,62.96.213.15,DE
62.96.213.16,62.96.213.255,GB
62.96.214.0,62.96.215.255,DE
62.96.216.0,62.96.217.255,IT
62.96.218.0,62.96.221.15,DE
62.96.221.16,62.96.221.255,GB
62.96.222.0,62.96.223.71,DE
62.96.223.72,62.96.223.255,GB
62.96.224.0,62.96.227.111,DE
62.96.227.112,62.96.227.255,GB
62.96.228.0,62.96.232.147,DE
62.96.232.148,62.96.232.255,GB
62.96.233.0,62.96.238.79,DE
62.96.238.80,62.96.238.255,ES
62.96.239.0,62.96.240.135,DE
62.96.240.136,62.96.240.255,CH
62.96.241.0,62.96.244.135,DE
62.96.244.136,62.96.244.255,FR
62.96.245.0,62.96.250.7,DE
62.96.250.8,62.96.250.255,GB
62.96.251.0,62.96.255.255,DE
62.97.0.0,62.97.63.255,IT
62.97.64.0,62.97.75.31,ES
62.97.75.32,62.97.75.255,PT
62.97.76.0,62.97.81.255,ES
62.97.82.0,62.97.82.255,PT
62.97.83.0,62.97.104.39,ES
62.97.104.40,62.97.104.255,DE
62.97.105.0,62.97.117.255,ES
62.97.118.0,62.97.118.255,BR
62.97.119.0,62.97.124.87,ES
62.97.124.88,62.97.124.255,FR
62.97.125.0,62.97.159.255,ES
62.97.160.0,62.97.255.255,NO
62.98.0.0,62.98.255.255,IT
62.99.0.0,62.99.127.255,ES
62.99.128.0,62.99.255.255,AT
62.100.0.0,62.100.63.255,NL
62.100.64.0,62.100.95.255,IT
62.100.96.0,62.100.127.255,ES
62.100.128.0,62.100.159.255,FR
62.100.160.0,62.100.195.255,GB
62.100.196.0,62.100.199.255,IT
62.100.200.0,62.100.203.255,US
62.100.204.0,62.100.207.255,GB
62.100.208.0,62.100.208.255,MX
62.100.209.0,62.100.209.255,US
62.100.210.0,62.100.210.255,PL
62.100.211.0,62.100.215.255,GB
62.100.216.0,62.100.219.255,US
62.100.220.0,62.100.223.255,GB
62.100.224.0,62.100.255.255,HU
62.101.0.0,62.101.31.255,IT
62.101.32.0,62.101.63.255,SE
62.101.64.0,62.101.127.255,IT
62.101.128.0,62.101.130.255,BA
62.101.131.0,62.101.131.255,RS
62.101.132.0,62.101.136.255,BA
62.101.137.0,62.101.142.255,RS
62.101.143.0,62.101.159.255,BA
62.101.160.0,62.101.191.255,ES
62.101.192.0,62.101.255.255,NO
62.102.0.0,62.102.1.255,GB
62.102.2.0,62.102.2.39,BE
62.102.2.40,62.102.23.255,GB
62.102.24.0,62.102.24.255,BE
62.102.25.0,62.102.28.255,GB
62.102.29.0,62.102.29.247,BE
62.102.29.248,62.102.30.255,GB
62.102.31.0,62.102.31.191,BE
62.102.31.192,62.102.33.255,GB
62.102.34.0,62.102.34.255,DE
62.102.35.0,62.102.38.255,BE
62.102.39.0,62.102.39.255,GB
62.102.40.0,62.102.48.31,BE
62.102.48.32,62.102.51.255,GB
62.102.52.0,62.102.53.255,BE
62.102.54.0,62.102.55.255,GB
62.102.56.0,62.102.59.255,BE
62.102.60.0,62.102.103.255,GB
62.102.104.0,62.102.104.255,BE
62.102.105.0,62.102.127.255,GB
62.102.128.0,62.102.143.255,IR
62.102.144.0,62.102.151.255,SE
62.102.152.0,62.102.159.255,IT
62.102.160.0,62.102.191.255,NO
62.102.192.0,62.102.223.255,DE
62.102.224.0,62.102.255.255,FR
62.103.0.0,62.103.255.255,GR
62.104.0.0,62.104.255.255,DE
62.105.0.0,62.105.63.255,RU
62.105.64.0,62.105.127.255,GB
62.105.128.0,62.105.149.31,RU
62.105.149.32,62.105.149.255,CA
62.105.150.0,62.105.159.255,RU
62.105.160.0,62.105.191.255,GB
62.105.192.0,62.105.255.255,NL
62.106.0.0,62.106.63.255,FI
62.106.64.0,62.106.95.255,FR
62.106.96.0,62.106.127.255,RU
62.106.128.0,62.106.255.255,FR
62.107.0.0,62.107.255.255,DK
62.108.0.0,62.108.31.255,NL
62.108.32.0,62.108.63.255,DE
62.108.64.0,62.108.95.255,TR
62.108.96.0,62.108.127.255,RS
62.108.128.0,62.108.135.255,US
62.108.136.0,62.108.138.31,GB
62.108.138.32,62.108.139.255,CH
62.108.140.0,62.108.144.15,US
62.108.144.16,62.108.144.47,GB
62.108.144.48,62.108.159.255,US
62.108.160.0,62.108.191.255,PL
62.108.192.0,62.108.223.255,SE
62.108.224.0,62.108.255.255,IT
62.109.0.0,62.109.31.255,RU
62.109.32.0,62.109.36.75,SE
62.109.36.76,62.109.36.255,NO
62.109.37.0,62.109.38.255,SE
62.109.39.0,62.109.39.255,NO
62.109.40.0,62.109.42.7,SE
62.109.42.8,62.109.42.255,FI
62.109.43.0,62.109.45.15,SE
62.109.45.16,62.109.45.255,NO
62.109.46.0,62.109.47.31,SE
62.109.47.32,62.109.47.255,FI
62.109.48.0,62.109.50.211,SE
62.109.50.212,62.109.50.255,NO
62.109.51.0,62.109.60.175,SE
62.109.60.176,62.109.61.255,FI
62.109.62.0,62.109.63.255,SE
62.109.64.0,62.109.127.255,DE
62.109.128.0,62.109.159.255,CZ
62.109.160.0,62.109.191.255,RU
62.109.192.0,62.109.255.255,NL
62.110.0.0,62.110.255.255,IT
62.111.0.0,62.111.127.255,DE
62.111.128.0,62.111.255.255,PL
62.112.0.0,62.112.0.255,US
62.112.1.0,62.112.1.255,CA
62.112.2.0,62.112.5.255,US
62.112.6.0,62.112.6.255,CA
62.112.7.0,62.112.7.255,US
62.112.8.0,62.112.11.255,NL
62.112.12.0,62.112.14.255,US
62.112.15.0,62.112.16.255,BE
62.112.17.0,62.112.17.255,FR
62.112.18.0,62.112.23.255,BE
62.112.24.0,62.112.27.255,US
62.112.28.0,62.112.28.255,HK
62.112.29.0,62.112.29.255,BE
62.112.30.0,62.112.30.255,US
62.112.31.0,62.112.31.255,BE
62.112.32.0,62.112.95.255,DE
62.112.96.0,62.112.127.255,RU
62.112.128.0,62.112.128.255,CH
62.112.129.0,62.112.130.111,DE
62.112.130.112,62.112.130.255,KE
62.112.131.0,62.112.132.143,DE
62.112.132.144,62.112.132.255,CH
62.112.133.0,62.112.133.255,DE
62.112.134.0,62.112.134.255,CH
62.112.135.0,62.112.139.255,DE
